Course Group,Course Group URI
Botanical Museum Development,http://history.archives.mbl.edu/concepts/coursegroup/1c33d9af-22fa-4392-90fb-2a261f2b2f3e
Research Program In History Of Biology,http://history.archives.mbl.edu/concepts/coursegroup/43b01f0d-da29-410a-b029-e8972015bed9
Optimal Microscopy And Photomicrography In The Biomedical Sciences,http://history.archives.mbl.edu/concepts/coursegroup/c177dbc3-8b5e-489c-ae7a-40310fb9fd44
Microbiology,http://history.archives.mbl.edu/concepts/coursegroup/8f4467a7-4ef4-4462-a138-1d1ac97abb2e
Zebrafish Development And Genetics,http://history.archives.mbl.edu/concepts/coursegroup/9ff77f37-4f48-4415-82e2-f649a1667400
Science Journalism Program,http://history.archives.mbl.edu/concepts/coursegroup/9943eb13-2150-461c-b59b-88cdd4ac539f
Rapid Measurement Of Neurotransmitter Signals In The Central Nervous System Using In Vivo Electrochemistry,http://history.archives.mbl.edu/concepts/coursegroup/feeb7776-408f-47ae-b7c6-ccb117ae3bec
Experimental Invertebrate Zoology,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55
Autoradiography In Electron Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/2e410294-0238-4d29-bca9-8194e2a24819
Microinjection Techniques,http://history.archives.mbl.edu/concepts/coursegroup/06525f01-03ce-4bc2-a18a-da320fdc1181
Rapid Electrochemical Measurements,http://history.archives.mbl.edu/concepts/coursegroup/77da00e0-9d4d-4332-97af-2f956fab4c56
Invertebrate,http://history.archives.mbl.edu/concepts/coursegroup/4d6a03b9-44f1-4a07-a38e-cbebf2600ac6
Scanning Electron Microscopy In The Biological Sciences,http://history.archives.mbl.edu/concepts/coursegroup/b5165641-955c-4260-9628-32d2e9a79674
Experimental Botany,http://history.archives.mbl.edu/concepts/coursegroup/a50079ff-964b-4ced-96f8-875b82ef1576
Medical Informatics,http://history.archives.mbl.edu/concepts/coursegroup/1f3412db-d453-4ad5-bc15-4f109ece0250
Excitable Membrane Physiology And Biophysics Training Program,http://history.archives.mbl.edu/concepts/coursegroup/a4b36667-176f-468b-a9d9-92e3f5efa754
Developmental Biology,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5
"Summer Program In Neuroscience, Ethics, And Survival (Spines)",http://history.archives.mbl.edu/concepts/coursegroup/cfd3945b-dbe3-41b7-b1ff-2e75427e4ce7
Workshop On Plant And Animal Cell Microinjection Techniques,http://history.archives.mbl.edu/concepts/coursegroup/c839bafc-f571-4a88-8a02-a8decce73544
The Ecosystems Center,http://history.archives.mbl.edu/concepts/coursegroup/17723386-4f64-47d7-9cc9-f5ec9bfb9dd7
Cellular Neurobiology And Development Of The Leech,http://history.archives.mbl.edu/concepts/coursegroup/cb8dc251-977e-4a6e-9247-f1fb43edf0e9
Immunohistochemistry And Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/9e1cba18-cc51-492b-b128-c6729d4d9fe5
Frontiers In Reproduction,http://history.archives.mbl.edu/concepts/coursegroup/e12150e0-23d0-4965-a435-c99eadd3db99
Ecology,http://history.archives.mbl.edu/concepts/coursegroup/d31993ac-e828-472b-9763-337e16372bec
Nasa Planetary Biology Internship,http://history.archives.mbl.edu/concepts/coursegroup/24b0bcb7-f572-4fdd-ac43-720bc3e45ff9
"Summer Program In Neuroscience, Ethics And Survival",http://history.archives.mbl.edu/concepts/coursegroup/708e702d-972d-4249-bbf4-43ce47d58bca
Living In The Microbial World,http://history.archives.mbl.edu/concepts/coursegroup/6ebb23e7-d9ea-4e9c-b1bc-c2b3e4170f14
Workshop On Recombinant Dna Methodology,http://history.archives.mbl.edu/concepts/coursegroup/d013da39-9ed5-40c4-8b1f-f1bce32aa9e4
Teaching About Neurobiology Of Brain Dysfunction,http://history.archives.mbl.edu/concepts/coursegroup/16cfc72f-442e-4302-b144-f5d169b17fe9
Comparative Psychology,http://history.archives.mbl.edu/concepts/coursegroup/2b049875-b101-4aaf-b33f-bb744c4caa7d
Mariculture,http://history.archives.mbl.edu/concepts/coursegroup/66b64dbd-21b7-4132-9b3b-9c2ae7af2af5
Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/a8d8b96f-f01d-46da-aedc-9f1c09ff149f
Basic Immunohistochemical Techniques In Tissue Sections And Whole Mounts,http://history.archives.mbl.edu/concepts/coursegroup/f8ab67c0-99c6-4180-ad4a-cbaafe32c9e2
Comparative Light And Electron Microscopy In Clinical Diagnosis,http://history.archives.mbl.edu/concepts/coursegroup/8aef93dc-2bcc-429c-8558-5866bd4b9002
Protozoology,http://history.archives.mbl.edu/concepts/coursegroup/bec637ad-39a7-495a-b025-aa431b2b1950
Embryology,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d
Marine Botany,http://history.archives.mbl.edu/concepts/coursegroup/74619d32-6aa6-4604-aa29-046f8e492169
"Summer Program In Neuroscience, Ethics, And Survival",http://history.archives.mbl.edu/concepts/coursegroup/850ee69a-bd0a-48b9-833e-9ef9824ea21c
Frontiers In Stem Cells And Regeneration,http://history.archives.mbl.edu/concepts/coursegroup/f73d2621-8447-4783-bb63-4e08b9bc7038
Three Integrated Short Courses In Quantitative Image And Signal Analysis For Biologists,http://history.archives.mbl.edu/concepts/coursegroup/9aa590de-f834-4ab8-b8b9-5c6e3fc89c95
Molecular Evolution,http://history.archives.mbl.edu/concepts/coursegroup/01afff44-425f-4828-bf15-780dc76aca5c
Strategies And Techniques For Analyzing Microbial Population Structures,http://history.archives.mbl.edu/concepts/coursegroup/fe855817-6d12-47b4-89e6-dfc6a51431fb
Small Computers In Biomedical Research,http://history.archives.mbl.edu/concepts/coursegroup/d2b2aeb9-6c1f-455b-be3f-8930769d3f5a
Invertebrate Zoology,http://history.archives.mbl.edu/concepts/coursegroup/7e058691-1b9d-4bb5-a57e-fe51c1568957
Fundamental Issues In Vision Research,http://history.archives.mbl.edu/concepts/coursegroup/dabd5ea8-ee7b-46d0-b709-3f464fa536b0
Basic Immunocytochemical Techniques In Tissue Sections And Whole Mounts,http://history.archives.mbl.edu/concepts/coursegroup/7bea69ff-0e13-48a5-a1cb-71d30fa58faf
Protein Analysis By Polyacrylamide Gel Electrophoresis,http://history.archives.mbl.edu/concepts/coursegroup/b72aa8ca-66ca-462a-959d-40c6b1425cb9
Year-In-Science (I975-I976),http://history.archives.mbl.edu/concepts/coursegroup/76d7a631-5b57-42f8-9faa-2385ad812fc6
Coelenterates,http://history.archives.mbl.edu/concepts/coursegroup/c94f8dde-5641-4f60-badc-df257d2cba6e
Neurobiology And Development Of The Leech,http://history.archives.mbl.edu/concepts/coursegroup/caac63d7-5891-4b21-84c1-bba4d694f022
Biosphere,http://history.archives.mbl.edu/concepts/coursegroup/2bf3174a-84ff-404f-a0a7-00a95dbf057c
Computational Neuroscience Workshop,http://history.archives.mbl.edu/concepts/coursegroup/b5914878-605d-41d3-a76a-43f16391737d
Year-In-Science,http://history.archives.mbl.edu/concepts/coursegroup/236c4dbd-50ea-4aa0-aa06-8c3d4570a395
Advances In Genome Technology And Bioinformatics,http://history.archives.mbl.edu/concepts/coursegroup/ad122a4b-baa0-4413-8557-e51537172700
Workshop On Molecular Evolution,http://history.archives.mbl.edu/concepts/coursegroup/4124f0c0-ac81-4a98-a956-720026cda8e2
Experimental Marine Botany,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb
Behavior,http://history.archives.mbl.edu/concepts/coursegroup/89242b8a-ec6a-4f36-b98e-731654efc04c
Neurophysiology Training Program,http://history.archives.mbl.edu/concepts/coursegroup/923c132d-13ae-40e6-8e81-0195a8603328
Systematics-Ecology Program,http://history.archives.mbl.edu/concepts/coursegroup/a383aa32-2487-4956-a758-c014a859ebc2
Molecular Biology Of Aging,http://history.archives.mbl.edu/concepts/coursegroup/88f425e6-caa0-463b-bc1e-ff3e42206fdd
Freeze-Etching In Electron Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/d1c87d51-7d5b-4b05-85a6-d7193e900984
Zoology,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743
Microinjection Techniques In Cell Biology,http://history.archives.mbl.edu/concepts/coursegroup/5d208fd0-2307-4f27-baa1-8213d5b46a74
Molecular And Cellular Immunology,http://history.archives.mbl.edu/concepts/coursegroup/37a862c4-07bf-4502-b88b-08cd3a6288b9
Liquid Scintillation Counting In Biology And Medicine,http://history.archives.mbl.edu/concepts/coursegroup/c5c03e0f-d798-404b-a747-9b6a6d2af5b2
Small Computers In Biology And Medicine,http://history.archives.mbl.edu/concepts/coursegroup/d3125e2b-b616-4251-9d09-086c2085b07f
Measurement And Control Of Chemical Stimuli,http://history.archives.mbl.edu/concepts/coursegroup/922db95e-37e9-48f8-925d-09a2a147d638
Semester In Environmental Science,http://history.archives.mbl.edu/concepts/coursegroup/d96f20ec-010e-42ce-b50a-0bd6a8180548
History Of Biology,http://history.archives.mbl.edu/concepts/coursegroup/b299de4e-9573-41f1-98ff-8ed32ea4b486
Basic Ecology And Management Of Resources,http://history.archives.mbl.edu/concepts/coursegroup/bc471f18-eb66-4a94-b78f-220a599fa41a
Comparative Physiology Research Training Program,http://history.archives.mbl.edu/concepts/coursegroup/9bdd1c10-ed1a-48a4-b8a3-5b7e4bb221b4
Science For Enabling Human Exploration,http://history.archives.mbl.edu/concepts/coursegroup/0fcea1fd-04f5-4303-a328-0f1802a24efa
Training Program In Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/2fa000d6-044b-4289-826c-fc5c6e0bd310
Pathogenesis Of Neuroimmunologic Diseases,http://history.archives.mbl.edu/concepts/coursegroup/ca6c1b45-754d-44d2-aab2-f842af960634
Optical Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/22a415b4-0008-47ad-be7b-c5c7ce5953e1
Advances In Mariculture,http://history.archives.mbl.edu/concepts/coursegroup/5da9546d-de09-4127-b176-3239102d9780
Physiology,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc
Energetics And Transport In Aquatic Plants,http://history.archives.mbl.edu/concepts/coursegroup/be208140-cff9-43a2-9698-580ae7c6a7d0
Analytical And Quantitative Light Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/f4c2357d-5639-4fc1-85a6-a97225bd1d3f
Dna Methodology Workshops,http://history.archives.mbl.edu/concepts/coursegroup/3ed9b272-c000-4be0-a45a-23080eb17843
Fertilization And Gamete Physiology Research Training Program,http://history.archives.mbl.edu/concepts/coursegroup/6a19528a-7c6c-4691-b12d-5086ad742fa5
Microbial Diversity,http://history.archives.mbl.edu/concepts/coursegroup/37b6b5bb-9ba2-412c-8c67-c8411e0e82ea
Botany,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c
Neuroinformatics,http://history.archives.mbl.edu/concepts/coursegroup/a9f03862-96b9-472d-831f-2988d3b35d5d
Gene Regulatory Networks,http://history.archives.mbl.edu/concepts/coursegroup/183e0cf7-6a17-4f14-867b-b11ab27ead32
Philosophical Aspects Of Biology And Allied Sciences,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad
Biology Of Parasitism,http://history.archives.mbl.edu/concepts/coursegroup/59c626c9-ac14-4913-9ada-5ff118567eaf
Electron Microscopy In The Biological Sciences,http://history.archives.mbl.edu/concepts/coursegroup/985319b1-f64e-47ae-affa-a9cac887cf08
Biological Electron Microscopy For Technicians,http://history.archives.mbl.edu/concepts/coursegroup/847ad7ad-d8a1-4cde-a58d-e184aed432d8
Nasa Planetary Biology Internship Program,http://history.archives.mbl.edu/concepts/coursegroup/787d8454-733e-40e2-ba6e-98a72315fb7b
Neural Systems And Behavior,http://history.archives.mbl.edu/concepts/coursegroup/090c9747-5bfc-47a7-93fa-41d6323fbc71
Modeling Of Biological Systems,http://history.archives.mbl.edu/concepts/coursegroup/e63d7c52-0bf1-4006-a9b5-7676256e014f
Neurobiology,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875
Molecular Mycology,http://history.archives.mbl.edu/concepts/coursegroup/c0cf7f81-c1ae-4f1a-a5e1-a679b5bee318
Cellular Neurobiology In The Leech,http://history.archives.mbl.edu/concepts/coursegroup/ce81b9b0-712f-4488-8d50-8e96bd5d570d
"Analytical And Quantitative Light Microscopy In Biology, Medicine And Materials Science",http://history.archives.mbl.edu/concepts/coursegroup/e0da18f4-b90c-4fc7-a602-3580c4310009
Teachers' Workshop,http://history.archives.mbl.edu/concepts/coursegroup/8ac9eb4d-90e8-415b-b981-94227a238d8b
Rapid Measurement Of Neurotransmitter Signals In The Central Nervous System,http://history.archives.mbl.edu/concepts/coursegroup/0d609f3f-ad20-4cba-bc7f-dcd0a441bec2
Biophysics Of Neural Function,http://history.archives.mbl.edu/concepts/coursegroup/d82cd941-e864-43be-81f9-62ad7cf34f3f
Biological Physiology,http://history.archives.mbl.edu/concepts/coursegroup/5c1e61f2-c018-4daf-a25b-300326ee87d8
Nature Study,http://history.archives.mbl.edu/concepts/coursegroup/f9d86d2a-4bbc-4c16-b398-c3d871cb3030
Bump Neurobiology,http://history.archives.mbl.edu/concepts/coursegroup/db004e6b-fe69-48a5-9ccf-0c6ca2e3166d
Three Afternoons Toward Better Scientific Writing,http://history.archives.mbl.edu/concepts/coursegroup/1e6c1c14-967f-488b-a58b-16f4b21fbc4f
Marine Models In Biological Research Undergraduate Program,http://history.archives.mbl.edu/concepts/coursegroup/71ff26b0-17e9-409a-80cc-0fe07bd4e8b4
Marine Ecology,http://history.archives.mbl.edu/concepts/coursegroup/be016a9b-f5fd-41bb-8bc4-44b77328090b
Research Program In Experimental Marine Biology,http://history.archives.mbl.edu/concepts/coursegroup/6ed75d79-df3a-4439-bd64-5e3783e78afd
Methods In Computational Neuroscience,http://history.archives.mbl.edu/concepts/coursegroup/ffe4faf0-b41c-492f-8c59-24d10ff195e0
Biology Of The Inner Ear,http://history.archives.mbl.edu/concepts/coursegroup/205cf741-dde0-4b0c-90ac-86f9f72de96c
Biomedical Informatics,http://history.archives.mbl.edu/concepts/coursegroup/8e0f8bf9-09b9-4610-9ca0-73602bc6208e
Computational Image Analysis In Cellular And Developmental Biology,http://history.archives.mbl.edu/concepts/coursegroup/c1e1bf86-015e-4a3c-9192-a8faabc5eaaa
Cell And Molecular Biology Of Plants,http://history.archives.mbl.edu/concepts/coursegroup/95645151-5529-4c5c-a9a3-89140f79952f
Invertebrate Morphology,http://history.archives.mbl.edu/concepts/coursegroup/101da587-3f0c-4e78-b628-8451f5fd345e
Boston University Marine Program,http://history.archives.mbl.edu/concepts/coursegroup/10362c01-03dd-443b-ac8c-c2c07f5d425d
Neural Development And Genetics Of Zebrafish,http://history.archives.mbl.edu/concepts/coursegroup/5c75180f-9852-4c86-bfea-f3558c8c2a89
Rapid Electrochemical Measurements In Biological Systems,http://history.archives.mbl.edu/concepts/coursegroup/6caa624a-b3d1-446c-9e29-472e34bf608e
Comparative Pathology Of Marine Invertebrates,http://history.archives.mbl.edu/concepts/coursegroup/62bf7166-6619-4426-8e0a-fc3c80eafb93
Research Program In Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/ff0291b4-a6e8-43e5-97c9-5f25341824ed
Research Program In Reproductive Biology,http://history.archives.mbl.edu/concepts/coursegroup/9eb1e664-021e-4e62-91de-8f6425a12cdb
Quantitative Analysis Of Electron Micrographs,http://history.archives.mbl.edu/concepts/coursegroup/d028e18f-f9aa-4ee6-ab86-874104faf8f5
Comparative Physiology,http://history.archives.mbl.edu/concepts/coursegroup/44a5364f-b031-4aa6-a0ae-be28d97fa81b
"Electron Probe X-Ray Microanalysis In Biology, Medicine, And Materials Sciences",http://history.archives.mbl.edu/concepts/coursegroup/47ce63d1-cf36-42e8-a400-bf8fbe7b9d57
